,freq_0.1000,freq_0.1072,freq_0.1150,freq_0.1233,freq_0.1322,freq_0.1417,freq_0.1520,freq_0.1630,freq_0.1748,freq_0.1874,freq_0.2009,freq_0.2154,freq_0.2310,freq_0.2477,freq_0.2656,freq_0.2848,freq_0.3054,freq_0.3275,freq_0.3511,freq_0.3765,freq_0.4037,freq_0.4329,freq_0.4642,freq_0.4977,freq_0.5337,freq_0.5722,freq_0.6136,freq_0.6579,freq_0.7055,freq_0.7565,freq_0.8111,freq_0.8697,freq_0.9326,freq_1.0000,freq_1.0723,freq_1.1498,freq_1.2328,freq_1.3219,freq_1.4175,freq_1.5199,freq_1.6298,freq_1.7475,freq_1.8738,freq_2.0092,freq_2.1544,freq_2.3101,freq_2.4771,freq_2.6561,freq_2.8480,freq_3.0539,freq_3.2745,freq_3.5112,freq_3.7649,freq_4.0370,freq_4.3288,freq_4.6416,freq_4.9770,freq_5.3367,freq_5.7224,freq_6.1359,freq_6.5793,freq_7.0548,freq_7.5646,freq_8.1113,freq_8.6975,freq_9.3260,freq_10.0000,freq_10.7227,freq_11.4976,freq_12.3285,freq_13.2194,freq_14.1747,freq_15.1991,freq_16.2975,freq_17.4753,freq_18.7382,freq_20.0923,freq_21.5443,freq_23.1013,freq_24.7708,freq_26.5609,freq_28.4804,freq_30.5386,freq_32.7455,freq_35.1119,freq_37.6494,freq_40.3702,freq_43.2876,freq_46.4159,freq_49.7702,freq_53.3670,freq_57.2237,freq_61.3591,freq_65.7933,freq_70.5480,freq_75.6463,freq_81.1131,freq_86.9749,freq_93.2603,freq_100.0000
stat_1,0.08977574317145744,0.08506173885069931,0.08122277729030389,0.08041294513587983,0.07703997436818408,0.0767471265939245,0.07633609098973286,0.07570134643928862,0.0745455835391733,0.07219477916882272,0.07206937458551711,0.07236688360267547,0.07217003515539243,0.07327509881620185,0.0745484178523931,0.07587454463712184,0.07834138758699051,0.07869746720271664,0.07934010096202793,0.07979657532458634,0.079937227571535,0.07989286048942267,0.08110897605978927,0.08035751624758679,0.07816998392737569,0.07774339447215631,0.07909804727326847,0.07946634131034623,0.07916130663104186,0.0807233245360592,0.07967062307214387,0.0783293604990131,0.07853723537515506,0.07914681869649892,0.07975081767335918,0.0803400859541786,0.08178525758868958,0.08186702306685162,0.0825952701425805,0.0832471448409633,0.08377767049534407,0.08376799396507287,0.08478933104735449,0.08604365879342811,0.08639900207860493,0.0865375826728977,0.08660447546592537,0.08673158060485212,0.08664371515986433,0.08596409415239549,0.08571021792897539,0.08587023801399975,0.08641300903448937,0.08616182287883474,0.08618437122863959,0.08573068290546017,0.08555931116339832,0.08562009908563842,0.08450087447941657,0.0835122453788265,0.08327619195493677,0.08277285614904062,0.08166400132699854,0.08198423391176723,0.0820011845799244,0.08226563982773617,0.08264325305252371,0.08290006013012355,0.0830289085840007,0.08294703059335455,0.08245145011105844,0.08246753330387988,0.08332543265173534,0.08427229236851434,0.0853438299388264,0.08601939612729695,0.08636464855687039,0.08861759221177483,0.09503567843389395,0.10846168372071498,0.11888039748047087,0.10960486283008346,0.10694825550801604,0.10650342114800798,0.10811455589695293,0.10946726621569645,0.11078509601381206,0.1127949811027474,0.11672657238470134,0.12342717179549745,0.12585280320301312,0.12433803560047779,0.12523749001258083,0.12966757436666024,0.13788923486744462,0.1492006687798125,0.1589860943532647,0.16342346486105003,0.1591844998222567,0.1558224538317885
stat_2,0.12080971897919374,0.11437430047283531,0.10921163617845442,0.10831539466121974,0.1037375487251936,0.10340895392338932,0.10281278944961304,0.10185822143061192,0.10020828655920336,0.09700642984717343,0.09691079154995207,0.09735748709181401,0.09712673878707558,0.09865604682880051,0.10051340763942275,0.10250799546836208,0.10608193553855311,0.10671935364217769,0.10768217769927522,0.10830152075441092,0.10850819048303065,0.10848043569125349,0.11027609097155401,0.10938815826044598,0.10642899376314492,0.1058245069653789,0.10759680898847163,0.10797087138696959,0.10746817629281386,0.10956766089332436,0.10804447868657117,0.10623214171457737,0.10651822820016128,0.10727929932490018,0.10821127957820875,0.10918935063913149,0.11112977140679382,0.11102596790382992,0.11188784026789172,0.11281953960847778,0.11356559581009296,0.11334534612338241,0.11458549932577275,0.11620940167948912,0.11667029991234257,0.11674335918666755,0.1167398382513313,0.117028347460951,0.11695944279989741,0.11603140901947466,0.1156168217092126,0.11577860409135204,0.11658463490569439,0.11648584162784224,0.11664117475370639,0.1160726297526686,0.1158531146820391,0.11591966133184671,0.11430381859657811,0.11292441710563961,0.11263671096172306,0.11201675774820885,0.1104581784288124,0.11087326353820054,0.11101275750162452,0.1114178674319939,0.11184682269728353,0.11222131880100428,0.11245242385691723,0.1123125025117063,0.11158711918676996,0.11162851829622408,0.11285703478338474,0.1142599947031228,0.11574645544433579,0.11673002551005698,0.11730567914912145,0.12047549171614695,0.12952681126529184,0.14845349721589315,0.16307458031520533,0.15009549946471706,0.1463295070755772,0.14563478479348266,0.14775004998619148,0.14957816983983166,0.15141747540436978,0.15404750906660672,0.1593051814488983,0.16838581999453914,0.1715205470599712,0.16959142491554552,0.17107473741653886,0.177470512535594,0.18892124557794443,0.20446618933471553,0.21806596098541342,0.2246000105990001,0.21929712505245358,0.21488526863929797
stat_3,0.06562540065077255,0.062290615488693794,0.059489307459918546,0.058668976635277495,0.05625835004344186,0.05594639559708085,0.0556255915446769,0.055190653994003566,0.054419676449353166,0.05275860653115614,0.05253271798437253,0.05257954272613979,0.0523435853703184,0.05309592141889192,0.053964334261732964,0.05480128660056292,0.056385616637198196,0.05652605863817292,0.05689711164760684,0.057216397651190395,0.057319062198399134,0.05729874358770181,0.05805119767322648,0.057402470898312914,0.05585224140852158,0.055556570124761326,0.05655414267144288,0.05694189333143076,0.05680803507266409,0.05790516917822941,0.057244548184987136,0.05625645002239828,0.0563534899958875,0.05681507165823193,0.057086006677550906,0.05729994549795124,0.05828377878759523,0.0585349476513736,0.05917723712310851,0.05960804858642612,0.05993704590417341,0.06007274921157127,0.06084423631709951,0.06174058551270002,0.06193916969885246,0.06206407919472809,0.06221219690504837,0.062348021342368734,0.062364065527673485,0.061940663747154553,0.06179785141564073,0.06187307263376765,0.0621255889752011,0.0618457699813223,0.06180381448066651,0.06148112907490589,0.06134704998887853,0.06143927890761845,0.060818094498896386,0.06023951806849635,0.06008580033447383,0.059722575591618525,0.0590402695124091,0.05930224753487572,0.059239769408117184,0.05942530297672822,0.0598127184084628,0.05999093615103802,0.060047105117417524,0.06003854116986221,0.059760653963304655,0.05976646673841878,0.060321203534433605,0.06089025988787226,0.0616352271200048,0.06204988083061142,0.062190477343817566,0.06370412027385182,0.06798774646753544,0.07694746965758163,0.08398277587910649,0.07761887371519988,0.075818028576657,0.07554417988566157,0.07672484850403018,0.07768183948572611,0.07856175032998536,0.07993485960329456,0.08265508223060185,0.08728418318033564,0.08903599530220577,0.0878269058623042,0.08816641381036192,0.09084595029166764,0.09631593835242813,0.10409873160743158,0.1108012594807685,0.11373193828216475,0.11069288159709875,0.10837690718517473
stat_4,0.056250485946232484,0.05346840603515679,0.051073838920972364,0.05021588596391343,0.04818981952619801,0.047849620671567346,0.047538597485074933,0.047157635680943145,0.04653372803297365,0.04515120571691393,0.04485589342690273,0.04475415143574653,0.04447996558802818,0.045087939706660335,0.04581964232559025,0.04648125088848588,0.04771736455053522,0.047776175907320556,0.04803375906982456,0.048295921363203036,0.04838874486894865,0.04839149326113477,0.048959004022070415,0.0483484557750633,0.04705937266825098,0.04681190183546408,0.04765918922708573,0.04806359445187455,0.048002740789496436,0.04890181646677159,0.048402913858119054,0.047547040690808784,0.04758274290361597,0.04797564175438548,0.048090487352423474,0.04813456291114509,0.04891406665235383,0.04923813143977246,0.04985181446790146,0.05019586725884184,0.05043554466898518,0.05061981380078374,0.051266627625355964,0.05200033681838739,0.0521148526362277,0.05221322860359116,0.05239885033804855,0.05258099861190847,0.05267617708506219,0.05237318490424053,0.052267682895431135,0.05228159640234344,0.05239544033137757,0.05213680248381384,0.052083852334935454,0.05182635111188405,0.051706866143083036,0.05182315332000823,0.05143316765108652,0.0510520142060304,0.05094652432746842,0.050657365422894514,0.05017080426271832,0.05041641808790299,0.050330671480015236,0.05049872584622056,0.05091108575234611,0.05106474740060728,0.051096062836058345,0.0511285534439439,0.050952905554807276,0.05095929202190644,0.05138972399859038,0.051801803564598674,0.052418421344826716,0.05272216168968544,0.052771756855982,0.05398680851168725,0.057403618310313535,0.06454760994254766,0.07021926570468381,0.06500386517763768,0.06353531992958134,0.06332088022197783,0.06432174344720865,0.06511600870693779,0.06581396787763479,0.06688844215159707,0.06907985811814986,0.07283430240815189,0.0742872185092755,0.07319288820465542,0.07328429209247664,0.07522119978936317,0.07955456320338107,0.08589750037801015,0.0913638694179628,0.09373336169408035,0.0912534928195199,0.08940371085852161
stat_5,0.0563962062045838,0.053600845263904906,0.051201144665497196,0.05035439176587844,0.04832084717845241,0.04798338736140149,0.04766512486532769,0.04727195406751386,0.04663673719892088,0.04524722725290499,0.04495803837449713,0.044863411721363475,0.04459483390627099,0.04520944913862306,0.04595459418973099,0.04663646498781446,0.04789909391270222,0.04797160007445373,0.048238846031409634,0.04850245620115154,0.048596433496850874,0.04860056964201318,0.04918276166981435,0.048580458077196284,0.04728569871746063,0.04703547855158117,0.04788203542872644,0.04827696042324282,0.04820791747506427,0.04911041757000113,0.048600535714497725,0.04774241193277594,0.04778063420874803,0.048170718586135225,0.04829994465239611,0.04836368726431757,0.04914971123649637,0.049455149874277154,0.050058770159812485,0.05040842402405253,0.0506536687929559,0.05082170274316891,0.05146394774077549,0.05219913135199761,0.052319089568836394,0.05241358797847864,0.052588178917939814,0.05276907436720827,0.052859467124633394,0.052550188157649606,0.05243855987421787,0.05245362939289674,0.05258191279738908,0.05233734898822015,0.052292526929934524,0.0520352965010034,0.051916552075822686,0.052029388229481055,0.051622502213368705,0.051231644081192754,0.05112737327413742,0.050841614125101665,0.05034725373781441,0.0505920901785311,0.050516591358147574,0.050689702580632545,0.05109734327608928,0.051254344798206355,0.051290961819967104,0.05132209275578233,0.051142910713196515,0.05115157907195195,0.05158863260674634,0.05201146840088412,0.05263327044006725,0.052943071750956625,0.05300091412607167,0.054229577738559534,0.057686518469099925,0.06491380747759735,0.07064456199564104,0.06538080826884952,0.06389562899882185,0.06367496028452464,0.06467647628834125,0.06547453450010826,0.06618039766603849,0.06726049415074684,0.06946628259875329,0.07324991082918578,0.07470648550937903,0.07361894844291464,0.07373785515836496,0.07572480045160551,0.08011090017274908,0.08650771975125811,0.0920214338447092,0.09441701620970422,0.09192285024621275,0.09005773181364893
stat_6,0.05456292138192093,0.05187983527191424,0.049559248073130134,0.04869605936634227,0.04673948281291729,0.04639348481188596,0.04607956989767697,0.045702150477265696,0.04510103960088405,0.04376843055814717,0.043460309639788086,0.04332985866349867,0.04304900370488716,0.04363211294011978,0.04434501705742298,0.04498272021909568,0.04616346980130739,0.0462122180350228,0.04645155858604144,0.046703341267258204,0.046795131303254085,0.04680372264845158,0.047341697019092424,0.0467408946107248,0.04549929930591192,0.045259599875553426,0.04607789675845412,0.04648283864168978,0.046433159470699675,0.047295351020853485,0.04682328179450471,0.045990742934981385,0.04601454015783146,0.04639283611570095,0.0464817409773527,0.046499231563651086,0.04724117637394673,0.04757294772414985,0.04817818217774717,0.048508049402153385,0.04873227366588417,0.04891924034210824,0.04953922454563861,0.05024152673108768,0.05034067440087515,0.05043118622683954,0.05062023492071851,0.05081367951328731,0.05092468023791878,0.05064330249737423,0.05054203721117707,0.050542886486213155,0.050634351760124346,0.05038712689988844,0.050336092960066685,0.05009185993495618,0.0499753526777722,0.050095775059679465,0.049745482542252445,0.049400351526906444,0.0493055123601759,0.04903287136184683,0.04858212564325764,0.048824898326134056,0.048739202303220604,0.0489069018833205,0.049323827285165364,0.04947463238399418,0.049503550423101214,0.049544166723661444,0.049387613087096986,0.04939531417734982,0.04980457559710382,0.0501906200828069,0.05078517724266163,0.05106975154585958,0.05110448583624909,0.05226807068502672,0.05553513346700408,0.062364197444816125,0.06779861594001323,0.06278141880269417,0.06136893733741697,0.06116292273115765,0.06212981364663797,0.0628945330161765,0.06356045320779334,0.06457745597567338,0.06667121113891382,0.07026794893678592,0.07166405078910375,0.07059254391676978,0.07064380660941566,0.07245284115213739,0.0765860256583003,0.08267377350266217,0.08792276838974808,0.09019751128068658,0.08782324902434688,0.08605976613088613
stat_7,0.0648852793728235,0.061595228008162285,0.058825736888944054,0.0579999142631089,0.05562000111880434,0.05530527300265473,0.05498694302515368,0.054558867016807094,0.05380152603002652,0.05216307130146729,0.05193043269209338,0.051964114267010086,0.051723824011784436,0.052463716443573054,0.05331886842145388,0.05413775142449982,0.05568901276081834,0.055819538401869054,0.056179306058750836,0.0564939110812363,0.056595532329048674,0.056576579090717116,0.057310845573274864,0.05666225624229938,0.05513310683191394,0.05484185206685393,0.05582856395688814,0.05622057317752715,0.05609462237936038,0.05717598932293004,0.056530620158896004,0.055552960197942335,0.05564461454120204,0.05610184250099918,0.056356798261546895,0.05655185093226951,0.05751832633643049,0.05778083467671837,0.05842403557562954,0.05884677922726989,0.05916741804396502,0.059311341938814134,0.06007454198864293,0.060958129477667225,0.061148718563619746,0.061272455768756895,0.061426342070070444,0.06156644053091042,0.06159002483307583,0.061177424474022045,0.061038882072073496,0.06110894091174409,0.061347171555811604,0.06106554212171077,0.06102065310778852,0.060702862334285825,0.06056965813182936,0.060664749515185856,0.06006570115859268,0.05950467621276257,0.05935432230477546,0.058995801664881234,0.058330288461162526,0.05859126167205565,0.05852429497421911,0.05870713988046599,0.05909771603560593,0.05927317606874459,0.05932600912084885,0.059320862526227966,0.05905153356536761,0.05905673338148475,0.05960036599135737,0.0601546837152314,0.06088861388717993,0.061293270518791056,0.06142466091273303,0.06291206876165932,0.0671189878903757,0.07591646120176472,0.08282992752424995,0.07656778421170218,0.07479729619607586,0.07453006672864361,0.07569747590479758,0.07664124248759491,0.07750491151905806,0.07885378256272894,0.08152974621518276,0.08608375439618,0.08781229504893923,0.08660828514576094,0.08691704548043405,0.089517320024337,0.0948777477770662,0.10253098355933724,0.10912181071464867,0.11199917310626517,0.10900810125383309,0.1067349019347405
stat_8,0.10701093826806243,0.10134088493824862,0.09676515977232956,0.09590653929787907,0.09186296980944608,0.0915536192644872,0.09105184437885509,0.09025444145353721,0.08883094848711835,0.08600603379213691,0.08590361935214852,0.08630056279104166,0.08609212341035127,0.08743350903193595,0.08901510073452154,0.09069506056989483,0.09376559716902445,0.09426893280727683,0.09508826228665193,0.09563669202595296,0.09581076799612691,0.0957674951720244,0.0972998533313872,0.09646798118735334,0.09384632372455667,0.09332383188465841,0.0949182562397782,0.09529088917805349,0.09487759172098069,0.09674619999872187,0.09543327857833936,0.09383330965275975,0.09409292621843311,0.0947946607648866,0.09558858218362717,0.0963992843888095,0.09813327624199016,0.09811538420804121,0.0989195568270787,0.09972486363740787,0.10037946390096439,0.10026500505255284,0.10142687742245006,0.10290056874245922,0.10332738334550914,0.1034447685032767,0.103472306428573,0.10366263749947073,0.10356436626654993,0.10273775840813534,0.10240066889187145,0.10257714406236533,0.10327549361911623,0.10308339969525755,0.10316753978481644,0.10264124599874089,0.10244268665643494,0.10250134460191528,0.1010936079156202,0.09987356632704864,0.0996002492022835,0.09902066248570454,0.09765326603393144,0.09802452326064887,0.09809958534705199,0.09843378421379172,0.09883602768666394,0.09915400572093512,0.09933472099758708,0.09921735014882284,0.09859075805668756,0.09861781919383648,0.09967946041832372,0.10087572010895664,0.10217555264006951,0.10302160970896333,0.10349306300935651,0.10625202652673693,0.11412642233566078,0.1306058574553987,0.14336011654266695,0.13204063750052478,0.12877669502922887,0.1282011417706027,0.13010073199283412,0.13172173231915918,0.13333318416989848,0.13572069662930958,0.1404246159230415,0.1484873767807191,0.15133301075148542,0.14959249275060826,0.15083971445156885,0.156418566660701,0.16649588870728044,0.18020995549259794,0.19213786523548687,0.1977110914964125,0.19279171387327518,0.1887861231002433
stat_9,0.1263898211135638,0.11967383024509538,0.11427935281230005,0.1133117038068563,0.10853470272159164,0.10816694391680605,0.10750069241165251,0.10645564618963,0.10471457517920178,0.10137583770766902,0.10124162238922209,0.10164693914237993,0.10138180758408658,0.10297826666920931,0.10496550020638509,0.10709854986950994,0.11086540469328711,0.11155719212822711,0.11256916337697218,0.11321320603509652,0.11343742892976358,0.11342883764257684,0.1153243621856682,0.11441251215936413,0.11133114696655375,0.11069155574936662,0.11252421384059264,0.11290756309774178,0.1123761077364203,0.11455084600404122,0.11295359891441294,0.11105145657580265,0.1113306262793197,0.11210517228213146,0.11306931248237356,0.11409817440249871,0.11610318245525443,0.11596535079080833,0.11685174617821287,0.1178334510118603,0.11860797728751364,0.11833698879688266,0.11958587305410971,0.12125149873603981,0.12171071197851123,0.12175084864096018,0.1217359944590465,0.1220940104852958,0.12206704319536237,0.12111631352962494,0.12066573204870366,0.12079768286200598,0.1216274122469141,0.12159256476922818,0.12178825889426308,0.12121453948247295,0.1209869205427117,0.12106599751609662,0.11940057389361597,0.1179956610902177,0.11771886401991541,0.11710300879958818,0.11550317572659446,0.11594371161027486,0.11611506266417254,0.1165631284470875,0.1170312235922643,0.11743507726862201,0.1176888573325004,0.11755684838131997,0.11681679084002392,0.11686924891653029,0.1181536909212494,0.11962229318200879,0.12118063555085115,0.12220529413355877,0.12280565444335714,0.12612382133398095,0.13559858066878,0.1554264701045876,0.17076108708947707,0.15712840986649237,0.15316032842644092,0.15241156899417993,0.1546016775322505,0.15650517295983354,0.15842760440568066,0.16111874229554982,0.1665607241594368,0.1760101132007734,0.17923622901660294,0.17724280366693645,0.17883724242896115,0.1856005236911174,0.19763845286692888,0.21392471688960918,0.2282087883802001,0.23515725963884798,0.22972075559888344,0.2251437017088816
stat_10,0.07777980411967424,0.07374527598738286,0.07042058274080712,0.0696164723126786,0.06671801425419521,0.0664223040032136,0.06606374874756217,0.06553514822764403,0.06457066099878525,0.06255882209503881,0.062393636605636404,0.06258376177370205,0.062375546216429656,0.06330818303115428,0.06437415465276985,0.06545319207103965,0.06748406351631397,0.06773241777106413,0.06824284738751804,0.06863249039050599,0.06875259041078777,0.06871548581549446,0.06970272951115322,0.06900254280754212,0.06712688840262103,0.06676629458032467,0.06794771103233703,0.06832283854082578,0.068100735850962,0.06943778606255169,0.0685766686829396,0.06741248135417517,0.0675715297415961,0.0681114248543641,0.06855925865608943,0.0689703618382548,0.0701953056412767,0.07035885121837974,0.0710426075789158,0.0715850218441742,0.07201937822024204,0.07208447474723967,0.07299127528636892,0.07407611314240328,0.07436210715445875,0.07450139836387809,0.07460588737943125,0.07472188128243591,0.07467176750634535,0.07411194412871723,0.0739149776796154,0.07404277718237041,0.0744511954446558,0.07417495516539246,0.07416071316102454,0.07376709488997459,0.07361423174739791,0.07368642108362783,0.07280122581307497,0.07200315351682857,0.07180260813696551,0.07136242850166404,0.07045545214161819,0.07074469321263056,0.07071987948882541,0.07094090907617875,0.07131659133650031,0.07153248638798433,0.07162417531328795,0.07157472454934122,0.07118169529937177,0.07119125075901447,0.07190063201029766,0.0726630075370874,0.0735728084367108,0.07412175499696519,0.07436886329925395,0.07625808980356391,0.08162737197641351,0.09285859040058005,0.10161035117376588,0.09377764624215522,0.09154714190639036,0.09119020002390152,0.0925923125984831,0.09375163895788496,0.09485575431701075,0.09656769394870575,0.09991846501932437,0.10561501181673388,0.10772004377142462,0.10635790756605046,0.10698843788318299,0.11056769979212046,0.11744302589479026,0.1270239597397217,0.13528804492855764,0.13896251910414925,0.13528183311949413,0.13241716599760775
